,opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,cluster,series,sales_price,manager,regional_office
15,3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,2016-11-05,2017-03-03,0.0,,,,Celia Rouche,West
16,M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,2016-11-05,2017-03-06,3284.0,1.0,,,Celia Rouche,West
17,6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,2016-11-06,2017-03-05,61.0,0.0,,,Dustin Brinkmann,Central
18,902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,2016-11-07,2017-03-09,0.0,,,,Rocco Neubert,East
19,5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,2016-11-07,2017-03-08,46.0,0.0,,,Celia Rouche,West
20,JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,2016-11-07,2017-03-17,0.0,,,,Summer Sewald,West
21,WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,2016-11-07,2017-03-18,50.0,0.0,,,Dustin Brinkmann,Central
22,C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,2016-11-07,2017-03-11,1014.0,0.0,,,Cara Losch,East
23,ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,2016-11-08,2017-03-26,561.0,0.0,,,Melvin Marxen,Central
24,SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,2016-11-10,2017-03-23,590.0,0.0,,,Summer Sewald,West
25,UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,2016-11-10,,,,,,Summer Sewald,West
26,JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,2016-11-10,2017-03-12,61.0,0.0,,,Dustin Brinkmann,Central
27,AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,2016-11-10,2017-03-11,0.0,,,,Cara Losch,East
28,5M58DTJK,Elease Gluck,MG Special,Cheers,Won,2016-11-11,2017-03-05,58.0,0.0,,,Celia Rouche,West
29,KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899.0,1.0,,,Summer Sewald,West
30,EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0.0,,,,Cara Losch,East
31,2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,2016-11-11,2017-03-03,67.0,0.0,,,Dustin Brinkmann,Central
32,JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338.0,1.0,,,Summer Sewald,West
33,KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578.0,0.0,,,Summer Sewald,West
34,N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556.0,0.0,,,Rocco Neubert,East
35,E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635.0,0.0,,,Celia Rouche,West
36,AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045.0,1.0,,,Cara Losch,East
37,REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233.0,0.0,,,Cara Losch,East
38,ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60.0,0.0,,,Dustin Brinkmann,Central
39,8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0.0,,,,Dustin Brinkmann,Central
40,TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0.0,,,,Melvin Marxen,Central
41,CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170.0,0.0,,,Melvin Marxen,Central
42,EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,2016-11-14,,,,,,Summer Sewald,West
43,30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162.0,0.0,,,Melvin Marxen,Central
44,OLVI7L8M,Cassey Cress,GTXPro,,Engaging,2016-11-16,,,,,,Rocco Neubert,East
45,97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725.0,1.0,,,Melvin Marxen,Central
46,JXLERZ9O,Kary Hendrixson,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559.0,0.0,,,Summer Sewald,West
47,6ROE69W5,Rosalina Dieter,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0.0,,,,Celia Rouche,West
48,0DFXFKT7,Darcel Schlecht,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0.0,,,,Melvin Marxen,Central
49,XKMZVSN4,James Ascencio,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667.0,1.0,,,Summer Sewald,West
50,IU8V0BZK,Marty Freudenburg,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903.0,0.0,,,Melvin Marxen,Central
51,XY42936P,Maureen Marcano,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180.0,0.0,,,Summer Sewald,West
52,XRN54MBM,Niesha Huffines,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487.0,0.0,,,Melvin Marxen,Central
53,2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180.0,1.0,,,Dustin Brinkmann,Central
54,ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0.0,,,,Melvin Marxen,Central
55,HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563.0,1.0,,,Melvin Marxen,Central
56,F5U1ACDD,Kami Bicknell,GTX Plus Basic,,Engaging,2016-11-19,,,,,,Summer Sewald,West
57,LPKT07PV,Boris Faz,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704.0,1.0,,,Rocco Neubert,East
58,WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585.0,1.0,,,Rocco Neubert,East
59,XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897.0,2.0,,,Celia Rouche,West
60,ZZY4516R,Hayden Neloms,MG Advanced,,Engaging,2016-11-20,,,,,,Celia Rouche,West
61,3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207.0,0.0,,,Summer Sewald,West
62,7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0.0,,,,Dustin Brinkmann,Central
63,MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559.0,0.0,,,Dustin Brinkmann,Central
64,0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,2016-11-20,,,,,,Summer Sewald,West
65,37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033.0,0.0,,,Melvin Marxen,Central
66,25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462.0,0.0,,,Rocco Neubert,East
67,BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0.0,,,,Celia Rouche,West
68,GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539.0,1.0,,,Summer Sewald,West
69,MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573.0,1.0,,,Dustin Brinkmann,Central
70,DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926.0,1.0,,,Melvin Marxen,Central
71,96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0.0,,,,Summer Sewald,West
72,7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62.0,0.0,,,Cara Losch,East
73,C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359.0,1.0,,,Melvin Marxen,Central
74,GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566.0,0.0,,,Summer Sewald,West
75,ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508.0,0.0,,,Melvin Marxen,Central
76,2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0.0,,,,Cara Losch,East
77,AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,2016-11-22,2017-03-11,51.0,0.0,,,Dustin Brinkmann,Central
78,B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899.0,1.0,,,Celia Rouche,West
79,M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,2016-11-23,,,,,,Cara Losch,East
80,LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790.0,1.0,,,Cara Losch,East
81,N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0.0,,,,Rocco Neubert,East
82,GYB4W2AU,Elease Gluck,MG Advanced,,Engaging,2016-11-23,,,,,,Celia Rouche,West
83,513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438.0,1.0,,,Melvin Marxen,Central
84,RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972.0,1.0,,,Melvin Marxen,Central
85,VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,2016-11-23,,,,,,Celia Rouche,West
86,BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523.0,0.0,,,Celia Rouche,West
87,HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647.0,1.0,,,Dustin Brinkmann,Central
88,L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200.0,1.0,,,Rocco Neubert,East
89,579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,2016-11-24,,,,,,Rocco Neubert,East
90,SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,,,,,,Summer Sewald,West
91,V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059.0,0.0,,,Summer Sewald,West
92,AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0.0,,,,Melvin Marxen,Central
93,NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57.0,0.0,,,Dustin Brinkmann,Central
94,FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671.0,1.0,,,Celia Rouche,West
95,TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,2016-11-25,2017-03-01,58.0,0.0,,,Dustin Brinkmann,Central
96,PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956.0,1.0,,,Dustin Brinkmann,Central
97,J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964.0,1.0,,,Cara Losch,East
98,S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570.0,1.0,,,Cara Losch,East
99,JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49.0,0.0,,,Melvin Marxen,Central
100,0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65.0,0.0,,,Cara Losch,East
101,K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0.0,,,,Dustin Brinkmann,Central
102,D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739.0,1.0,,,Melvin Marxen,Central
103,051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080.0,0.0,,,Melvin Marxen,Central
104,5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57.0,0.0,,,Rocco Neubert,East
105,V9E582SK,Garret Kinder,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469.0,0.0,,,Cara Losch,East
106,UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532.0,0.0,,,Summer Sewald,West
107,PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,2016-11-27,,,,,,Celia Rouche,West
108,IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538.0,0.0,,,Celia Rouche,West
109,8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829.0,1.0,,,Cara Losch,East
110,2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370.0,1.0,,,Summer Sewald,West
111,7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499.0,1.0,,,Summer Sewald,West
112,GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161.0,0.0,,,Melvin Marxen,Central
113,K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576.0,0.0,,,Summer Sewald,West
114,5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979.0,0.0,,,Summer Sewald,West
115,ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43.0,0.0,,,Dustin Brinkmann,Central
116,KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,2016-11-29,2017-03-07,57.0,0.0,,,Melvin Marxen,Central
117,7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0.0,,,,Dustin Brinkmann,Central
118,FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948.0,0.0,,,Dustin Brinkmann,Central
119,N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012.0,1.0,,,Cara Losch,East
120,2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665.0,1.0,,,Rocco Neubert,East
121,7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564.0,0.0,,,Cara Losch,East
122,3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0.0,,,,Dustin Brinkmann,Central
123,7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463.0,1.0,,,Rocco Neubert,East
124,J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513.0,0.0,,,Cara Losch,East
125,41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590.0,0.0,,,Cara Losch,East
126,QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511.0,1.0,,,Melvin Marxen,Central
127,AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0.0,,,,Dustin Brinkmann,Central
128,VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546.0,0.0,,,Melvin Marxen,Central
129,PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46.0,0.0,,,Celia Rouche,West
130,A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891.0,1.0,,,Melvin Marxen,Central
131,0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040.0,0.0,,,Celia Rouche,West
132,O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108.0,0.0,,,Celia Rouche,West
133,0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59.0,0.0,,,Celia Rouche,West
134,22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406.0,1.0,,,Melvin Marxen,Central
135,MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515.0,0.0,,,Summer Sewald,West
136,LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583.0,0.0,,,Dustin Brinkmann,Central
137,6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,2016-12-02,2017-03-14,54.0,0.0,,,Dustin Brinkmann,Central
138,3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60.0,0.0,,,Celia Rouche,West
139,CNM0H9FR,Zane Levy,GTX Basic,,Engaging,2016-12-02,,,,,,Summer Sewald,West
140,XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0.0,,,,Melvin Marxen,Central
141,TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0.0,,,,Melvin Marxen,Central
142,BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516.0,0.0,,,Melvin Marxen,Central
143,B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829.0,1.0,,,Melvin Marxen,Central
144,I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0.0,,,,Dustin Brinkmann,Central
145,MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950.0,0.0,,,Rocco Neubert,East
146,HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0.0,,,,Celia Rouche,West
147,DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513.0,0.0,,,Cara Losch,East
148,3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0.0,,,,Melvin Marxen,Central
149,45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522.0,1.0,,,Melvin Marxen,Central
150,9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,2016-12-04,2017-03-09,56.0,0.0,,,Melvin Marxen,Central
151,JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673.0,1.0,,,Summer Sewald,West
152,7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598.0,0.0,,,Summer Sewald,West
153,XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787.0,1.0,,,Melvin Marxen,Central
154,S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070.0,0.0,,,Summer Sewald,West
155,6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677.0,1.0,,,Rocco Neubert,East
156,G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425.0,1.0,,,Rocco Neubert,East
157,UAE5ZC7O,Daniell Hammack,GTX Plus Pro,,Engaging,2016-12-05,,,,,,Rocco Neubert,East
158,6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415.0,1.0,,,Rocco Neubert,East
159,JUCNIG4H,James Ascencio,GTX Basic,,Engaging,2016-12-05,,,,,,Summer Sewald,West
160,OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891.0,0.0,,,Summer Sewald,West
161,4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609.0,0.0,,,Dustin Brinkmann,Central
162,EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54.0,0.0,,,Celia Rouche,West
163,82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049.0,0.0,,,Summer Sewald,West
164,14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152.0,0.0,,,Rocco Neubert,East
165,DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0.0,,,,Rocco Neubert,East
166,1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799.0,1.0,,,Rocco Neubert,East
167,E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,2016-12-07,2017-03-12,51.0,0.0,,,Melvin Marxen,Central
168,787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426.0,1.0,,,Celia Rouche,West
169,0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51.0,0.0,,,Melvin Marxen,Central
170,FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564.0,0.0,,,Summer Sewald,West
171,TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882.0,1.0,,,Dustin Brinkmann,Central
172,ICMXZOVL,Daniell Hammack,GTXPro,Stanredtax,Engaging,2016-12-08,,,,,,Rocco Neubert,East
173,UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059.0,1.0,,,Rocco Neubert,East
174,IBEUTCSW,James Ascencio,MG Advanced,,Engaging,2016-12-08,,,,,,Summer Sewald,West
175,O3KC8QI8,Kami Bicknell,GTX Plus Basic,,Engaging,2016-12-08,,,,,,Summer Sewald,West
176,BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388.0,1.0,,,Summer Sewald,West
177,WALNFJ70,Kary Hendrixson,GTX Plus Pro,,Engaging,2016-12-08,,,,,,Summer Sewald,West
178,DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410.0,1.0,,,Celia Rouche,West
179,A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978.0,0.0,,,Rocco Neubert,East
180,E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54.0,0.0,,,Celia Rouche,West
181,SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0.0,,,,Dustin Brinkmann,Central
182,V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549.0,0.0,,,Rocco Neubert,East
183,GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034.0,0.0,,,Cara Losch,East
184,9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998.0,1.0,,,Rocco Neubert,East
185,0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421.0,1.0,,,Rocco Neubert,East
186,HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425.0,1.0,,,Summer Sewald,West
187,Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55.0,0.0,,,Celia Rouche,West
188,R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558.0,1.0,,,Cara Losch,East
189,MNVMY83P,Cassey Cress,GTXPro,Plussunin,Engaging,2016-12-10,,,,,,Rocco Neubert,East
190,0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839.0,1.0,,,Summer Sewald,West
191,40DPY158,Markita Hansen,MG Special,Hottechi,Won,2016-12-10,2017-03-25,47.0,0.0,,,Celia Rouche,West
192,DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007.0,0.0,,,Summer Sewald,West
193,DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,2016-12-10,2017-03-24,48.0,0.0,,,Melvin Marxen,Central
194,CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,2016-12-10,2017-03-07,49.0,0.0,,,Dustin Brinkmann,Central
195,OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,504.0,0.0,,,Cara Losch,East
196,ZOBJHMAF,Cassey Cress,MG Advanced,,Engaging,2016-12-11,,,,,,Rocco Neubert,East
197,KD6MB4AP,Elease Gluck,MG Special,,Engaging,2016-12-11,,,,,,Celia Rouche,West
